"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.2945066358645,0.240807657300042,-1.22299531155502,0.221331467124805
"live_coral_z",-0.293913842459777,0.0864762950075093,-3.39877931211385,0.0006768730920268
"dead_coral_z",0.371156935507768,0.0313921427734194,11.8232431021573,2.96031461561795e-32
"turf_z",0.227498769865489,0.0330139442719601,6.89099030371575,5.54053156801625e-12
"macroalgae_z",0.228625242538255,0.0426836121974735,5.35627681838482,8.49543214949649e-08
"rock_z",-2.62658071328191,1.16345530437618,-2.25756907326168,0.0239725385947817
"invertebrate_z",0.0952406053382824,0.0330887260575043,2.87834004768771,0.00399773955822969
"percent_N_jan_z",0.870160737455191,0.287182113626424,3.0299962851695,0.0024455674669471
"percent_N_may_z",0.477958956248098,0.142254919324893,3.35987647046846,0.00077977329956966
"percent_N_aug_z",1.96762653485324,0.691488366696197,2.84549477564488,0.00443424868318382
"jan_d15_z",-2.99726314053802,0.986089602666375,-3.03954441100834,0.00236936266585744
"may_d15_z",5.98473487943234,1.56015280265569,3.83599277535196,0.000125058083933115
"aug_d15_z",-2.37131157069838,0.851098618079036,-2.78617720711441,0.00533337067497667
"NHW_speed_z",6.6827669770957,1.74352889738368,3.8328971702871,0.000126642900480173
"NLW_speed_z",-3.07680635141813,1.13388198205262,-2.71351551582847,0.0066573450544616
