"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.52551208902991,0.297605729962086,11.8462507071992,1.36214510555842e-21
"dead_coral_z",-0.281424657568936,0.194946233233834,-1.44360141204356,0.151593587463825
"turf_z",-1.7286322495677,0.363460131976982,-4.75604364133443,5.82280983199522e-06
"macroalgae_z",1.17704161807245,0.297680258649915,3.95404661165894,0.000133771216350211
"rock_z",-0.343353320905786,0.216507891427479,-1.58586977427007,0.115538896003146
"invertebrate_z",0.216439181027155,0.0892856894917065,2.42411950066487,0.016917214351591
"percent_N_jan_z",0.792410660120187,0.285076114443606,2.77964592602494,0.00636722593286624
"percent_N_may_z",0.296020480580001,0.118510395499959,2.49784400204877,0.0139219999480172
"jan_d15_z",1.75821188483436,0.831216608204099,2.11522708699613,0.0365882968424763
"may_d15_z",-1.88725866844006,0.609443388709723,-3.09669233172854,0.00246359699151198
