"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",3.89577113556883,0.43380101244411,8.9805487396615,1.62111115300662e-13
"live_coral_z",-0.342667700697795,0.200057375359472,-1.7128471273907,0.0908721166626509
"dead_coral_z",-0.359511426309228,0.193348514060265,-1.85939585859538,0.0668931232249399
"turf_z",-0.853591203103678,0.265357473709677,-3.21675960797538,0.00191470850364797
"depth_to_benthos_z",0.930027349057554,0.428313904388225,2.17136856760684,0.0330661933440464
"percent_N_jan_z",-0.942696556813161,0.415147758961802,-2.27074947765742,0.0260329216462792
"may_d15_z",-2.45111692102524,1.12426389736389,-2.18019712878131,0.0323803042590726
"NHW_speed_z",-2.57441996658297,1.0670819547342,-2.4125794229406,0.0182841930587739
