"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-32.9378366679451,1742.47842625549,-0.0189028662688967,0.984918592998393
"dead_coral_z",-0.429229277931319,0.226183349330966,-1.8977050220582,0.0577349506449209
"macroalgae_z",0.720800011591322,0.149707408786387,4.81472505225047,1.47402699179409e-06
"depth_to_benthos_z",1.29920915835512,0.251745671952988,5.16080037553831,2.458962764717e-07
"percent_N_may_z",74.7834641715811,4071.15405370469,0.0183691069375106,0.985344397375687
"percent_N_aug_z",-359.48168360964,19838.740028905,-0.01812018722388,0.985542973519072
"jan_d15_z",545.871579155778,30100.9832119729,0.0181346760440255,0.985531415012415
"may_d15_z",-638.585980197764,35297.1491847155,-0.0180917154769623,0.985565686963028
"aug_d15_z",503.723090787,27866.9155002905,0.0180760260597104,0.985578203260075
"NHW_speed_z",-499.238420819654,27826.4493477537,-0.0179411470928452,0.985685803655918
"NLW_speed_z",570.310919506255,31757.9278874577,0.0179580645666587,0.98567230763906
