"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.1794815170163,0.0687746886730289,17.149936114198,6.29216011890168e-66
"live_coral_z",0.671859815061064,0.0271949329514891,24.7053308151022,9.37325179244147e-135
"dead_coral_z",-0.28070902877017,0.0516952361645465,-5.43007537245154,5.63302562157401e-08
"turf_z",-0.884150883615178,0.0714487091802517,-12.3746236112486,3.58571263392774e-35
"rock_z",-1.25136830019546,0.240381216275699,-5.20576573986645,1.9319824839515e-07
"invertebrate_z",0.393249118150384,0.0347018435456338,11.3322255526065,9.08661132237744e-30
"depth_to_benthos_z",0.227626062962828,0.00999921481121151,22.7643937309562,1.0335300477503e-114
"percent_N_jan_z",0.33957673079792,0.055038944873508,6.16975364586556,6.83964741089126e-10
"percent_N_may_z",-0.262899863594854,0.0545864980118864,-4.81620681249065,1.46312881079113e-06
"percent_N_aug_z",1.58540623748735,0.183446566798813,8.64233256120882,5.5076836045974e-18
"jan_d15_z",-2.44652824544472,0.189529736632037,-12.9084136817777,4.03528540348358e-38
"may_d15_z",4.08867182451251,0.209831029823222,19.4855442875018,1.45622703012823e-84
"aug_d15_z",-1.12158147118022,0.18836758368057,-5.95421701157551,2.61319867277015e-09
"NLW_speed_z",0.805993516161785,0.157286433825552,5.12436766832492,2.9853793259884e-07
