bommie_number,siteCode,siteNumber,date,startTime,endTime,site,lat_start,lon_start,lat_end,lon_end,x_coord,y_coord,live_coral_total,dead_coral_total,turf_total,macroalgae_total,rock_total,invertebrate_total,number_total_points,proportion_live_coral,proportion_dead_coral,proportion_turf,proportion_macroalgae,proportion_rock,proportion_invertebrate,final_coralSpecies,depth,height,length,width,circumference,depth_to_benthos,L_onLive,L_onDead,D_liveOnLive,D_liveOnDead,D_deadOnLive,D_deadOnDead,tridacna,spirobranchus,total_L,total_live_D,total_D,density_L_onLive,density_L_onDead,density_D_liveOnLive,density_D_liveOnDead,density_D_deadOnLive,density_D_deadOnDead,density_tridacna,density_spirobranchus,density_total_L,density_total_live_D,density_total_D,percent_N_jan,percent_N_may,percent_N_aug,jan_d15,may_d15,aug_d15,avg_speed,avg_speed_offshore,distanceOutBay,L_onLive_diameter,L_onDead_diameter,D_onLive_diameter,D_onDead_diameter,notes,collector1,collector2,collector3,,,,,,,,,,,,,,,,,,,,,,,
3,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0,0,1,0,0,0,Porites lobata,151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,,0,,0.037,,0.296,0,0,0,0.037,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
3,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,10,-5,0,0,27,0,0,0,27,0,0,1,0,0,0,Porites lobata,151,29,54,46,135,180,0,0,0,1,0,8,0,0,0,1,9,,0,,0.037,,0.296,0,0,0,0.037,0.333,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
4,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0,0,1,0,0,0,Porites lobata,131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
4,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0,0,1,0,0,0,Porites lobata,131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
4,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0,0,1,0,0,0,Porites lobata,131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,"coral ID slightly uncertain, the folds seemed very small compared to other Pavona cactus I have seen",Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
4,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,26,-8,0,0,16,0,0,0,16,0,0,1,0,0,0,Porites lobata,131,17,52,49,141,148,0,0,0,0,0,4,0,0,0,0,4,,0,,0,,0.25,0,0,0,0,0.25,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
5,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0,0,0.929,0.071,0,0,Porites lobata,103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,,0.071,,0,,0.214,0,0,0.071,0,0.214,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,4.1,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
5,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0,0,0.929,0.071,0,0,Porites lobata,103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,,0.071,,0,,0.214,0,0,0.071,0,0.214,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
5,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0,0,0.929,0.071,0,0,Porites lobata,103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,,0.071,,0,,0.214,0,0,0.071,0,0.214,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
5,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,32,-10,0,0,13,1,0,0,14,0,0,0.929,0.071,0,0,Porites lobata,103,23,70,43,146,126,0,1,0,0,0,3,0,0,1,0,3,,0.071,,0,,0.214,0,0,0.071,0,0.214,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
6,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0,0,1,0,0,0,Porites lobata,139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,,0,,0,,0.667,0,0,0,0,0.667,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
6,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0,0,1,0,0,0,Porites lobata,139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,,0,,0,,0.667,0,0,0,0,0.667,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
6,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0,0,1,0,0,0,Porites lobata,139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,,0,,0,,0.667,0,0,0,0,0.667,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
6,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,33,-8,0,0,3,0,0,0,3,0,0,1,0,0,0,Porites lobata,139,21,27,23,56,160,0,0,0,0,0,2,0,0,0,0,2,,0,,0,,0.667,0,0,0,0,0.667,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
7,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0,0,0.6,0.4,0,0,Porites lobata,117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
7,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0,0,0.6,0.4,0,0,Porites lobata,117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ellie Fox,Zoe Fu-Chen,,,,,,,,,,,,,,,,,,,,,,,,
7,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0,0,0.6,0.4,0,0,Porites lobata,117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Ethan Kahn,Natalie Loftus,,,,,,,,,,,,,,,,,,,,,,,,
7,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,42,-9,0,0,3,2,0,0,5,0,0,0.6,0.4,0,0,Porites lobata,117,28,34,31,83,145,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
8,BOB,1,04_may_2024,8:40,10:00,Back Opunohu Bay,-17.508962,-149.85232,-17.508531,-149.85247,48,-1,0,0,2,0,0,0,2,0,0,1,0,0,0,Porites lobata,132,25,26,18,50,157,0,2,0,0,0,2,0,0,2,0,2,,1,,0,,1,0,0,1,0,1,0.537,0.58,0.521,4.604,5.033,3.895,0.014231,0.01482,-1906,,5.3,,,,Natalie Loftus,Ethan Kahn,,,,,,,,,,,,,,,,,,,,,,,,
